graph_path;num_irred_sph;num_irred_aff;num_sph_rank_dm;num_sph_rank_d;num_aff_rank_dm;compact;finvol;time;comment

14-vinb85.coxiter;182;8;704;89;5;false;true;;
16-vinb85.coxiter;434;20;2804;313;12;false;true;;
17-vinb85.coxiter;654;56;7586;774;33;false;true;;
18-vinb14_gamma2.coxiter;;;;;;false;true;;
18-vinb77_Gamma1.coxiter;;;;;;false;true;;
18-vinb77_Gamma.coxiter;;;;;;false;true;;

d13_10.coxiter;785;583;37937;4436;236;false;true;;
p6.coxiter;27;135;648;72;27;false;true;;
p6_wythoff.coxiter;252;3180;14208;1344;636;false;true;;

4-felikson2007_5.2.1.coxiter;;;;;;true;true;;
4-felikson2007_5.2.2.coxiter;;;;;;true;true;;
4-felikson2007_5.2.3.coxiter;;;;;;true;true;;
4-felikson2007_5.2.7.coxiter;;;;;;true;true;;

cocompact/4-Bugaenko.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-01.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-02.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-03.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-04.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-05.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-06.coxiter;;;;;;true;true;;
cocompact/4-ess96-230-07.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_01.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_02.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_03.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_04.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_05.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_06.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_07.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_08.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_09.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_10.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_11.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_12.coxiter;;;;;;true;true;;
cocompact/4-ftz07_187_13.coxiter;;;;;;true;true;;
cocompact/5-ImHof-(5,3,3,3,5,1,1,1).coxiter;;;;;;true;true;;
